"","clust_ID","clust_freq"
"391","Prim1 Cluster_fam_502",3
"392","Prim1 Cluster_fam_521",3
"393","Prim1 Cluster_fam_504",3
"394","Prim1 Cluster_fam_507",9
"395","Prim1 Cluster_fam_508",2
"396","Prim1 Cluster_fam_524",2
"397","Prim1 Cluster_fam_530",4
"398","Prim1 Cluster_fam_520",2
"399","Prim1 Cluster_fam_513",4
"400","Prim1 Cluster_fam_522",3
"401","Prim1 Cluster_fam_525",2
"402","Prim1 Cluster_fam_512",2
"403","Prim1 Cluster_fam_548",3
"404","Prim1 Cluster_fam_518",3
"405","Prim1 Cluster_fam_565",2
"406","Prim1 Cluster_fam_528",4
"407","Prim1 Cluster_fam_554",2
"408","Prim1 Cluster_fam_540",4
"409","Prim1 Cluster_fam_566",4
"410","Prim1 Cluster_fam_549",6
"411","Prim1 Cluster_fam_564",2
"412","Prim1 Cluster_fam_537",3
"413","Prim1 Cluster_fam_541",3
"414","Prim1 Cluster_fam_558",5
"415","Prim1 Cluster_fam_543",4
"416","Prim1 Cluster_fam_569",2
"417","Prim1 Cluster_fam_546",3
"418","Prim1 Cluster_fam_568",5
"419","Prim1 Cluster_fam_547",5
"420","Prim1 Cluster_fam_545",4
"421","Prim1 Cluster_fam_576",2
"422","Prim1 Cluster_fam_578",2
"423","Prim1 Cluster_fam_609",2
"424","Prim1 Cluster_fam_570",3
"425","Prim1 Cluster_fam_544",2
"426","Prim1 Cluster_fam_550",4
"427","Prim1 Cluster_fam_577",2
"428","Prim1 Cluster_fam_557",6
"429","Prim1 Cluster_fam_551",2
"430","Prim1 Cluster_fam_555",4
"431","Prim1 Cluster_fam_580",6
"432","Prim1 Cluster_fam_556",3
"433","Prim1 Cluster_fam_572",3
"434","Prim1 Cluster_fam_597",3
"435","Prim1 Cluster_fam_574",3
"436","Prim1 Cluster_fam_571",2
"437","Prim1 Cluster_fam_584",4
"438","Prim1 Cluster_fam_573",5
"439","Prim1 Cluster_fam_598",3
"440","Prim1 Cluster_fam_586",4
"441","Prim1 Cluster_fam_559",2
"442","Prim1 Cluster_fam_561",2
"443","Prim1 Cluster_fam_562",2
"444","Prim1 Cluster_fam_585",3
"445","Prim1 Cluster_fam_579",3
"446","Prim1 Cluster_fam_619",2
"447","Prim1 Cluster_fam_582",3
"448","Prim1 Cluster_fam_583",7
"449","Prim1 Cluster_fam_592",2
"450","Prim1 Cluster_fam_593",5
"451","Prim1 Cluster_fam_589",3
"452","Prim1 Cluster_fam_600",4
"453","Prim1 Cluster_fam_599",2
"454","Prim1 Cluster_fam_603",8
"455","Prim1 Cluster_fam_587",2
"456","Prim1 Cluster_fam_594",4
"457","Prim1 Cluster_fam_595",4
"458","Prim1 Cluster_fam_613",2
"459","Prim1 Cluster_fam_596",5
"460","Prim1 Cluster_fam_607",4
"461","Prim1 Cluster_fam_602",3
"462","Prim1 Cluster_fam_606",2
"463","Prim1 Cluster_fam_601",4
"464","Prim1 Cluster_fam_604",3
"465","Prim1 Cluster_fam_605",2
"466","Prim1 Cluster_fam_608",6
"467","Prim1 Cluster_fam_610",2
"468","Prim1 Cluster_fam_642",2
"469","Prim1 Cluster_fam_611",3
"470","Prim1 Cluster_fam_621",2
"471","Prim1 Cluster_fam_624",4
"472","Prim1 Cluster_fam_615",4
"473","Prim1 Cluster_fam_623",4
"474","Prim1 Cluster_fam_620",4
"475","Prim1 Cluster_fam_618",3
"476","Prim1 Cluster_fam_622",3
"477","Prim1 Cluster_fam_657",2
"478","Prim1 Cluster_fam_625",3
"479","Prim1 Cluster_fam_629",2
"480","Prim1 Cluster_fam_626",3
"481","Prim1 Cluster_fam_628",3
"482","Prim1 Cluster_fam_627",3
"483","Prim1 Cluster_fam_630",2
"484","Prim1 Cluster_fam_631",6
"485","Prim1 Cluster_fam_636",3
"486","Prim1 Cluster_fam_661",2
"487","Prim1 Cluster_fam_665",2
"488","Prim1 Cluster_fam_632",3
"489","Prim1 Cluster_fam_637",2
"490","Prim1 Cluster_fam_664",3
"491","Prim1 Cluster_fam_648",2
"492","Prim1 Cluster_fam_658",3
"493","Prim1 Cluster_fam_659",3
"494","Prim1 Cluster_fam_667",2
"495","Prim1 Cluster_fam_656",2
"496","Prim1 Cluster_fam_662",2
"497","Prim1 Cluster_fam_660",3
"498","Prim1 Cluster_fam_669",3
"499","Prim1 Cluster_fam_673",3
"500","Prim1 Cluster_fam_670",4
"501","Prim1 Cluster_fam_671",6
"502","Prim1 Cluster_fam_676",4
"503","Prim1 Cluster_fam_675",2
"504","Prim1 Cluster_fam_672",3
"505","Prim1 Cluster_fam_680",4
"506","Prim1 Cluster_fam_677",2
"507","Prim1 Cluster_fam_679",3
"508","Prim1 Cluster_fam_682",2
"509","Prim1 Cluster_fam_683",4
"510","Prim1 Cluster_fam_688",3
"511","Prim1 Cluster_fam_693",4
"512","Prim1 Cluster_fam_694",3
"513","Prim1 Cluster_fam_698",3
"514","Prim1 Cluster_fam_703",2
"515","Prim1 Cluster_fam_710",2
"516","Prim1 Cluster_fam_714",2
"517","Prim1 Cluster_fam_711",2
"518","Prim1 Cluster_fam_712",5
"519","Prim1 Cluster_fam_718",2
"520","Prim1 Cluster_fam_716",2
"521","Prim1 Cluster_fam_720",2
"522","Prim1 Cluster_fam_719",3
"523","Prim1 Cluster_fam_721",2
"524","Prim1 Cluster_fam_722",2
"525","Prim1 Cluster_fam_733",2
"526","Prim1 Cluster_fam_724",2
"527","Prim1 Cluster_fam_725",2
"528","Prim1 Cluster_fam_735",2
"529","Prim1 Cluster_fam_736",4
"530","Prim1 Cluster_fam_730",2
"531","Prim1 Cluster_fam_762",3
"532","Prim1 Cluster_fam_745",5
"533","Prim1 Cluster_fam_757",2
"534","Prim1 Cluster_fam_728",2
"535","Prim1 Cluster_fam_761",2
"536","Prim1 Cluster_fam_746",2
"537","Prim1 Cluster_fam_769",2
"538","Prim1 Cluster_fam_758",5
"539","Prim1 Cluster_fam_790",2
"540","Prim1 Cluster_fam_756",2
"541","Prim1 Cluster_fam_772",3
"542","Prim1 Cluster_fam_763",3
"543","Prim1 Cluster_fam_767",8
"544","Prim1 Cluster_fam_764",2
"545","Prim1 Cluster_fam_787",2
"546","Prim1 Cluster_fam_782",2
"547","Prim1 Cluster_fam_781",2
"548","Prim1 Cluster_fam_765",4
"549","Prim1 Cluster_fam_771",2
"550","Prim1 Cluster_fam_774",2
"551","Prim1 Cluster_fam_789",4
"552","Prim1 Cluster_fam_779",9
"553","Prim1 Cluster_fam_804",2
"554","Prim1 Cluster_fam_775",4
"555","Prim1 Cluster_fam_780",3
"556","Prim1 Cluster_fam_800",4
"557","Prim1 Cluster_fam_806",5
"558","Prim1 Cluster_fam_827",4
"559","Prim1 Cluster_fam_835",2
"560","Prim1 Cluster_fam_852",2
"561","Prim1 Cluster_fam_784",2
"562","Prim1 Cluster_fam_820",2
"563","Prim1 Cluster_fam_796",2
"564","Prim1 Cluster_fam_836",3
"565","Prim1 Cluster_fam_792",5
"566","Prim1 Cluster_fam_791",2
"567","Prim1 Cluster_fam_795",2
"568","Prim1 Cluster_fam_799",2
"569","Prim1 Cluster_fam_793",3
"570","Prim1 Cluster_fam_844",3
"571","Prim1 Cluster_fam_830",2
"572","Prim1 Cluster_fam_805",4
"573","Prim1 Cluster_fam_797",2
"574","Prim1 Cluster_fam_811",3
"575","Prim1 Cluster_fam_826",6
"576","Prim1 Cluster_fam_816",2
"577","Prim1 Cluster_fam_817",4
"578","Prim1 Cluster_fam_847",4
"579","Prim1 Cluster_fam_842",2
"580","Prim1 Cluster_fam_823",2
"581","Prim1 Cluster_fam_813",3
"582","Prim1 Cluster_fam_822",2
"583","Prim1 Cluster_fam_812",2
"584","Prim1 Cluster_fam_841",2
"585","Prim1 Cluster_fam_809",3
"586","Prim1 Cluster_fam_808",5
"587","Prim1 Cluster_fam_828",2
"588","Prim1 Cluster_fam_845",2
"589","Prim1 Cluster_fam_838",2
"590","Prim1 Cluster_fam_878",2
"591","Prim1 Cluster_fam_856",3
"592","Prim1 Cluster_fam_843",2
"593","Prim1 Cluster_fam_880",2
"594","Prim1 Cluster_fam_821",3
"595","Prim1 Cluster_fam_869",8
"596","Prim1 Cluster_fam_868",4
"597","Prim1 Cluster_fam_866",2
"598","Prim1 Cluster_fam_854",2
"599","Prim1 Cluster_fam_871",2
"600","Prim1 Cluster_fam_833",2
"601","Prim1 Cluster_fam_873",3
"602","Prim1 Cluster_fam_901",2
"603","Prim1 Cluster_fam_832",2
