"","clustsize","category"
"501",6,"All clusters"
"502",4,"All clusters"
"503",2,"All clusters"
"504",3,"All clusters"
"505",4,"All clusters"
"506",2,"All clusters"
"507",3,"All clusters"
"508",2,"All clusters"
"509",4,"All clusters"
"510",3,"All clusters"
"511",4,"All clusters"
"512",3,"All clusters"
"513",3,"All clusters"
"514",2,"All clusters"
"515",2,"All clusters"
"516",2,"All clusters"
"517",2,"All clusters"
"518",5,"All clusters"
"519",2,"All clusters"
"520",2,"All clusters"
"521",2,"All clusters"
"522",3,"All clusters"
"523",2,"All clusters"
"524",2,"All clusters"
"525",2,"All clusters"
"526",2,"All clusters"
"527",2,"All clusters"
"528",2,"All clusters"
"529",4,"All clusters"
"530",2,"All clusters"
"531",3,"All clusters"
"532",5,"All clusters"
"533",2,"All clusters"
"534",2,"All clusters"
"535",2,"All clusters"
"536",2,"All clusters"
"537",2,"All clusters"
"538",5,"All clusters"
"539",2,"All clusters"
"540",2,"All clusters"
"541",3,"All clusters"
"542",3,"All clusters"
"543",8,"All clusters"
"544",2,"All clusters"
"545",2,"All clusters"
"546",2,"All clusters"
"547",2,"All clusters"
"548",4,"All clusters"
"549",2,"All clusters"
"550",2,"All clusters"
"551",4,"All clusters"
"552",9,"All clusters"
"553",2,"All clusters"
"554",4,"All clusters"
"555",3,"All clusters"
"556",4,"All clusters"
"557",5,"All clusters"
"558",4,"All clusters"
"559",2,"All clusters"
"560",2,"All clusters"
"561",2,"All clusters"
"562",2,"All clusters"
"563",2,"All clusters"
"564",3,"All clusters"
"565",5,"All clusters"
"566",2,"All clusters"
"567",2,"All clusters"
"568",2,"All clusters"
"569",3,"All clusters"
"570",3,"All clusters"
"571",2,"All clusters"
"572",4,"All clusters"
"573",2,"All clusters"
"574",3,"All clusters"
"575",6,"All clusters"
"576",2,"All clusters"
"577",4,"All clusters"
"578",4,"All clusters"
"579",2,"All clusters"
"580",2,"All clusters"
"581",3,"All clusters"
"582",2,"All clusters"
"583",2,"All clusters"
"584",2,"All clusters"
"585",3,"All clusters"
"586",5,"All clusters"
"587",2,"All clusters"
"588",2,"All clusters"
"589",2,"All clusters"
"590",2,"All clusters"
"591",3,"All clusters"
"592",2,"All clusters"
